Date,Fear Greed Index
2025-01-01,28
2025-01-02,24.3143
2025-01-03,28.8857
2025-01-06,33.7714
2025-01-07,34.3143
2025-01-08,31.9143
2025-01-09,30.4
2025-01-10,25.6286
2025-01-13,25.3429
2025-01-14,25.1429
2025-01-15,27.4286
2025-01-16,27.3429
2025-01-17,36.0286
2025-01-21,39.9143
2025-01-22,41.6286
2025-01-23,43.6857
2025-01-24,45.8
2025-01-27,37.9714
2025-01-28,40.6286
2025-01-29,42.4
2025-01-30,45.9143
2025-01-31,43.7714
2025-02-03,37.4
2025-02-04,37.1429
2025-02-05,38.6286
2025-02-06,39.6857
2025-02-07,38.3714
2025-02-10,44.7143
2025-02-11,45.4
2025-02-12,41.3714
2025-02-13,46.6
2025-02-14,43.6857
2025-02-18,46.8
2025-02-19,47.6286
2025-02-20,44.2286
2025-02-21,36.9714
2025-02-24,29.5429
2025-02-25,24.2
2025-02-26,21.2571
2025-02-27,12.7571
2025-02-28,20.6571
2025-03-03,12.3429
2025-03-04,11.0429
2025-03-05,11.5143
2025-03-06,17.2
2025-03-07,17.6429
2025-03-10,17.0714
2025-03-11,15.1143
2025-03-12,15.9143
2025-03-13,15.1857
2025-03-14,22.0571
2025-03-17,22.5714
2025-03-18,22.2286
2025-03-19,21.6
2025-03-20,21.6857
2025-03-21,22.6857
2025-03-24,25.4
2025-03-25,29.2857
2025-03-26,28.8857
2025-03-27,28.3429
2025-03-28,26.3714
2025-03-31,21.1143
2025-04-01,19.5714
2025-04-02,22.6
2025-04-03,12.1429
2025-04-04,5.3857
2025-04-07,4
2025-04-08,2.9
2025-04-09,9.5
2025-04-10,5.6143
2025-04-11,8.3857
2025-04-14,12.3429
2025-04-15,13.1143
2025-04-16,11.1429
2025-04-17,16.0571
2025-04-18,19.4714
2025-04-21,12.3714
2025-04-22,13.6
2025-04-23,21.5429
2025-04-24,24.0857
2025-04-25,34.5143
2025-04-28,32.1429
2025-04-29,32.7429
2025-04-30,32.3714
2025-05-01,41.2571
2025-05-02,38.2857
2025-05-05,53.0571
2025-05-06,54.6571
2025-05-07,54.1429
2025-05-08,57.6571
2025-05-09,60.0286
2025-05-12,64.4857
2025-05-13,68.2
2025-05-14,70.4
2025-05-15,69.1429
2025-05-16,70.6
2025-05-19,69.7429
2025-05-20,69.1714
2025-05-21,66.2286
2025-05-22,66.8
2025-05-23,64.0857
2025-05-27,65.7429
2025-05-28,64.7429
2025-05-29,64.4571
2025-05-30,61.9143
2025-06-02,62.4286
2025-06-03,54.5714
2025-06-04,54.8857
2025-06-05,57.9714
2025-06-06,61.7714
2025-06-09,63.4286
2025-06-10,64
2025-06-11,64.2
2025-06-12,64.6
2025-06-13,59.5429
2025-06-16,61.1143
2025-06-17,57.4286
2025-06-18,54.2857
2025-06-19,55.0571
2025-06-20,54.5143
2025-06-23,56.6
2025-06-24,57.8857
2025-06-25,59.2571
2025-06-26,63
2025-06-27,64.8
2025-06-30,69.2286
2025-07-01,67.5429
2025-07-02,63.7143
2025-07-03,77.6286
2025-07-04,78.4857
2025-07-07,75.0857
2025-07-08,74.6286
2025-07-09,75.9143
2025-07-10,76.9714
2025-07-11,75.2571
2025-07-14,76.1143
2025-07-15,73.4857
2025-07-16,72.9429
2025-07-17,74.1714
2025-07-18,73.9429
2025-07-21,73.2857
2025-07-22,73.8857
2025-07-23,76.3714
2025-07-24,75.2571
2025-07-25,74.6571
2025-07-28,73.8
2025-07-29,70.6286
2025-07-30,68.0286
2025-07-31,63.7143
2025-08-01,49.8
2025-08-04,56.8857
2025-08-05,55.0286
2025-08-06,55.3143
2025-08-07,54.7143
2025-08-08,58.3714
2025-08-11,57.6286
2025-08-12,62.2571
2025-08-13,63.3429
2025-08-14,63.2571
2025-08-15,63.5429
2025-08-18,64.2
2025-08-19,59.8857
2025-08-20,55.9143
2025-08-21,52.6
2025-08-22,55.5429
2025-08-25,53.9429
2025-08-26,55.4
2025-08-27,59.1143
2025-08-28,64.4286
2025-08-29,61.5429
2025-09-02,62.4571
2025-09-03,61.3714
2025-09-04,61.1714
2025-09-05,58.6857
2025-09-08,58.2286
2025-09-09,57.9429
2025-09-10,57.9429
2025-09-11,60.3429
2025-09-12,61.3429
2025-09-15,64.4571
2025-09-16,64.3714
2025-09-17,63.7714
2025-09-18,66.5429
2025-09-19,66.2286
2025-09-22,66.5143
2025-09-23,56.7714
2025-09-24,54.5714
2025-09-25,50.6571
2025-09-26,51.2857
2025-09-29,50.9714
2025-09-30,51.4
2025-10-01,52.4857
2025-10-02,54.5429
2025-10-03,52.5714
